,ID,eth
913,NA19328,LWK
914,NA19792,MXL
915,NA19347,LWK
917,NA19359,LWK
919,NA19901,ASW
920,NA19378,LWK
921,NA19913,ASW
922,NA19380,LWK
923,NA19385,LWK
924,NA19920,ASW
925,NA19397,LWK
926,NA19982,ASW
927,NA19429,LWK
928,NA19223,YRI
929,NA19431,LWK
930,NA19235,YRI
931,NA19436,LWK
932,NA19247,YRI
933,NA19443,LWK
934,NA19448,LWK
935,NA19312,LWK
936,NA18907,YRI
937,NA19317,LWK
938,NA19324,LWK
939,NA18933,YRI
940,NA19331,LWK
941,NA18940,JPT
942,NA18945,JPT
943,NA19108,YRI
944,NA18952,JPT
945,NA18957,JPT
946,NA18964,JPT
947,NA18969,JPT
948,NA18971,JPT
949,NA19141,YRI
950,NA18976,JPT
951,NA19146,YRI
952,NA18983,JPT
953,NA18988,JPT
954,NA19747,MXL
955,NA18990,JPT
956,NA18995,JPT
957,NA19759,MXL
958,NA19001,JPT
959,NA19761,MXL
960,NA19006,JPT
961,NA19020,LWK
962,NA19773,MXL
963,NA19025,LWK
964,NA19152,YRI
965,NA19780,MXL
966,NA19171,YRI
967,NA20282,ASW
968,NA19190,YRI
969,NA20287,ASW
970,NA20294,ASW
971,NA20299,ASW
972,NA19210,YRI
973,NA20314,ASW
974,NA19455,LWK
975,NA19462,LWK
976,NA20504,TSI
977,NA19467,LWK
978,NA20509,TSI
979,NA19474,LWK
980,NA20511,TSI
981,NA19652,MXL
982,NA20516,TSI
983,NA19657,MXL
984,NA20528,TSI
985,NA19664,MXL
986,NA20530,TSI
987,NA19669,MXL
988,NA20535,TSI
989,NA20542,TSI
990,NA19102,YRI
991,NA20585,TSI
992,NA19107,YRI
993,NA20756,TSI
994,NA19114,YRI
995,NA20763,TSI
996,NA19119,YRI
997,NA20768,TSI
998,NA19121,YRI
999,NA20770,TSI
1000,NA19138,YRI
1001,NA20775,TSI
1002,NA20787,TSI
1003,NA20799,TSI
1004,NA19676,MXL
1005,NA20802,TSI
1006,NA20807,TSI
1007,NA19703,ASW
1008,NA20814,TSI
1009,NA20819,TSI
1010,NA19722,MXL
1011,NA20821,TSI
1012,NA20826,TSI
1013,NA19734,MXL
1014,NA20845,GIH
1015,NA20503,TSI
1016,NA21141,GIH
1017,NA20508,TSI
1018,NA20510,TSI
1019,NA20515,TSI
1020,NA20321,ASW
1021,NA20522,TSI
1022,NA20527,TSI
1023,NA20340,ASW
1024,NA20534,TSI
1025,NA20539,TSI
1026,NA20357,ASW
1027,NA20541,TSI
1028,NA20895,GIH
1029,NA20589,TSI
1030,NA20903,GIH
1031,NA20755,TSI
1032,NA20908,GIH
1033,NA20910,GIH
1034,NA19789,MXL
1035,NA21088,GIH
1036,NA20852,GIH
1037,NA20864,GIH
1038,NA19835,ASW
1039,NA20869,GIH
1040,NA19900,ASW
1042,NA21108,GIH
1043,NA19917,ASW
1044,NA21110,GIH
1045,NA21115,GIH
1046,NA20762,TSI
1047,NA21122,GIH
1048,NA20767,TSI
1049,NA21127,GIH
1050,NA20774,TSI
1051,NA20876,GIH
1052,NA20786,TSI
1053,NA20883,GIH
1054,NA20798,TSI
1055,NA20888,GIH
1056,NA20801,TSI
1057,NA20890,GIH
1058,NA20806,TSI
1059,NA21090,GIH
1060,NA20813,TSI
1061,NA21095,GIH
1062,NA20818,TSI
1063,NA21103,GIH
1064,NA20832,TSI
1065,NA20274,ASW
1066,NA20281,ASW
1067,NA20298,ASW
1069,NA20318,ASW
1070,NA20320,ASW
1071,NA20332,ASW
1073,NA20351,ASW
1074,NA20356,ASW
1075,NA19741,MXL
1076,NA19746,MXL
1077,NA19758,MXL
1078,NA19777,MXL
1079,NA20849,GIH
1080,NA20851,GIH
1081,NA20856,GIH
1082,NA20863,GIH
1083,NA20868,GIH
1084,NA20870,GIH
1085,NA20894,GIH
1086,NA20899,GIH
1087,NA20902,GIH
1088,NA21087,GIH
1089,NA20875,GIH
1090,NA20882,GIH
1091,NA20887,GIH
1092,NA21133,GIH
1093,NA21114,GIH
1094,NA21119,GIH
1095,NA21121,GIH
1096,NA21126,GIH
1097,NA21094,GIH
1098,NA21099,GIH
1099,NA21102,GIH
1100,NA21107,GIH
1101,HG00104,GBR
1102,HG00109,GBR
1103,HG00111,GBR
1104,HG00116,GBR
1105,HG00123,GBR
1106,HG00128,GBR
1107,HG00130,GBR
1108,HG00135,GBR
1109,HG00142,GBR
1111,HG00154,GBR
1112,HG00159,GBR
1113,HG00173,FIN
1114,HG00178,FIN
1115,HG00152,GBR
1116,HG00180,FIN
1117,HG00157,GBR
1118,HG00185,FIN
1119,HG00171,FIN
1120,HG00231,GBR
1121,HG00176,FIN
1122,HG00236,GBR
1123,HG00183,FIN
1124,HG00243,GBR
1125,HG00188,FIN
1126,HG00318,FIN
1127,HG00190,FIN
1128,HG00320,FIN
